qid	title	year	reach	score	via
Q1271819	Weekend at Dunkirk	1964	9	11.40	cinematographer:6 composer:3 cast:12
Q1158528	Damien: Omen II	1978	12	11.35	cinematographer:7 composer:4 screenwriter:1 cast:1
Q1214661	The Power of Emotion	1983	12	11.35	cinematographer:4 editor:7 composer:1 cast:1
Q5956779	Hymn to a Tired Man	1968	11	11.35	director:4 composer:7 cast:7
Q1404012	Fur	2006	13	11.35	cinematographer:1 composer:12 cast:3
Q622742	Where the Wild Things Are	2009	13	11.35	cinematographer:1 composer:12 cast:3
Q168821	The Hoax	2006	12	11.35	composer:12 cast:7
Q635380	Tom Sawyer	1973	14	11.30	editor:1 composer:13
Q1199834	Jaws 2	1978	14	11.30	composer:13 screenwriter:1
Q2317367	Heartbeeps	1981	14	11.30	composer:13 screenwriter:1
Q4655870	A Chinese Tall Story	2005	14	11.30	composer:13 screenwriter:1
Q3990888	Thrilling	1965	13	11.30	editor:3 composer:9 screenwriter:1 cast:2
Q3978441	Wake Up and Die	1966	13	11.30	editor:3 composer:9 screenwriter:1 cast:2
Q3797045	Chronicle of a Homicide	1972	13	11.30	editor:3 composer:9 screenwriter:1 cast:2
Q1131221	Copkiller	1983	13	11.30	editor:3 composer:9 screenwriter:1 cast:2
Q1542371	Single White Female	1992	13	11.30	cinematographer:2 composer:11 cast:2
Q389511	According to Pereira	1995	13	11.30	editor:4 composer:9 cast:2
Q2249349	The Tales of Hoffmann	1951	12	11.30	director:5 editor:3 screenwriter:4
Q2257063	Cops and Robbers	1951	12	11.30	cinematographer:1 editor:3 composer:1 screenwriter:7 cast:2
Q2322181	Robinson Crusoe	1954	12	11.30	director:5 editor:2 screenwriter:5
Q15990764	The Big Mess	1971	11	11.30	cinematographer:4 editor:7 cast:4
Q126896	In the Valley of Elah	2007	11	11.30	cinematographer:10 composer:1 cast:2
Q276299	Revolutionary Road	2008	11	11.30	cinematographer:10 composer:1 cast:2
Q304599	Ondine	2009	11	11.30	cinematographer:9 editor:2 cast:2
Q1215053	Double Suicide: Japanese Summer	1967	10	11.30	director:3 composer:5 screenwriter:2 cast:10
Q8069515	Zero Focus	1961	10	11.30	composer:2 screenwriter:8 cast:10
Q3359260	Where Are You Going on Holiday?	1978	13	11.25	cinematographer:2 composer:9 screenwriter:2 cast:1
Q527958	Flesh for Frankenstein	1973	12	11.25	cinematographer:2 screenwriter:10 cast:1
Q3231865	Les Créatures	1966	10	11.25	director:4 cinematographer:1 editor:1 screenwriter:4 cast:7
Q1135394	The Corruptor	1999	13	11.25	editor:1 composer:12 cast:3
Q956288	Woodstock	1970	11	11.25	director:11 cast:1
Q3212003	Promise at Dawn	1970	11	11.25	director:1 cinematographer:1 editor:1 composer:6 screenwriter:2 cast:7
Q3208895	Daughter of the Nile	1987	11	11.25	director:5 cinematographer:1 screenwriter:5 cast:3
Q3474345	Wild Innocence	2001	11	11.25	cinematographer:11 cast:1
Q1092932	Circus World	1964	12	11.20	editor:2 composer:6 screenwriter:4 cast:4
Q1713546	Junior Bonner	1972	12	11.20	director:3 cinematographer:3 editor:1 composer:2 screenwriter:3
Q5245579	Deadline	1987	12	11.20	cinematographer:4 editor:8
Q3025523	Homework	1989	12	11.20	director:4 editor:4 screenwriter:4
Q3160388	Jacquot de Nantes	1991	12	11.20	director:4 cinematographer:2 composer:2 screenwriter:4
Q2740695	10 on Ten	2004	12	11.20	director:4 editor:4 screenwriter:4
Q1626134	Marco Polo	1982	11	11.20	cinematographer:2 composer:9 cast:8
Q4391725	Postcard	2010	11	11.20	director:3 composer:5 screenwriter:3 cast:6
Q3204769	The Outsider	1981	12	11.20	director:4 editor:4 screenwriter:4
Q1475829	The Prefab People	1982	12	11.20	director:4 editor:4 screenwriter:4
Q951002	Funny Games U.S.	2007	12	11.20	director:3 cinematographer:2 editor:3 composer:1 screenwriter:3
Q3477549	Section spéciale	1975	8	11.20	director:1 cinematographer:1 editor:3 composer:2 screenwriter:1 cast:16
Q1328227	The Secret Ways	1961	13	11.15	composer:13 cast:3
Q1086921	Oedipus Rex	1967	13	11.15	editor:3 composer:8 screenwriter:2 cast:1
Q368136	Città violenta	1970	13	11.15	cinematographer:1 editor:3 composer:9 cast:1
Q1057768	Massacre in Rome	1973	13	11.15	cinematographer:1 editor:3 composer:9 cast:1
Q304806	Tsuribaka Nisshi 2	1989	13	11.15	composer:13 cast:3
Q1044598	Departures	2008	13	11.15	composer:13 cast:3
Q3720922	El Greco	1966	12	11.15	editor:3 composer:9 cast:5
Q1263650	Faccia a faccia	1967	12	11.15	editor:1 composer:9 screenwriter:2 cast:5
Q1114345	Machine Gun McCain	1969	12	11.15	editor:3 composer:9 cast:5
Q208424	Nineteen Eighty-Four	1984	11	11.15	cinematographer:10 editor:1 cast:1
Q1225121	Let's Hope It's a Girl	1986	11	11.15	editor:4 screenwriter:7 cast:5
Q3056750	White Mischief	1987	11	11.15	cinematographer:10 editor:1 cast:1
Q2992619	A Confucian Confusion	1994	11	11.15	director:5 editor:1 screenwriter:5 cast:3
Q609857	Levity	2003	11	11.15	cinematographer:10 editor:1 cast:1
Q28698824	A Taxi Driver	2017	11	11.15	editor:6 composer:5 cast:7
Q470895	A Woman of Paris	1923	12	11.10	director:3 cinematographer:3 composer:3 screenwriter:3
Q4003231	Last Love	1947	12	11.10	cinematographer:4 editor:2 composer:1 screenwriter:5
Q603696	Days of Thunder	1990	12	11.10	editor:2 composer:7 screenwriter:3 cast:4
Q3549701	Dear Summer Sister	1974	10	11.10	director:3 composer:7 cast:10
Q2006056	The Fifth Cord	1971	13	11.10	cinematographer:3 editor:1 composer:9
Q956250	This Boy's Life	1993	13	11.10	cinematographer:1 composer:12 cast:2
Q798662	Bad Company	1995	13	11.10	cinematographer:1 composer:12 cast:2
Q506661	Conspiracy Theory	1997	13	11.10	director:1 composer:12 cast:2
Q649165	Being John Malkovich	1999	13	11.10	cinematographer:1 composer:12 cast:2
Q1632040	Howl	2010	13	11.10	cinematographer:1 composer:12 cast:2
Q17182571	Legend	2015	13	11.10	cinematographer:1 composer:12 cast:2
Q133466	A Canterbury Tale	1944	12	11.10	director:5 editor:1 composer:2 screenwriter:4
Q115537	I Know Where I'm Going!	1945	12	11.10	director:5 editor:1 composer:2 screenwriter:4
Q195710	Krull	1983	12	11.10	cinematographer:6 editor:3 composer:3
Q478748	The Holiday	2006	12	11.10	cinematographer:5 composer:7 cast:2
Q124408474	Ella McCay	2025	12	11.10	cinematographer:5 composer:7 cast:2
Q1214594	Certified Copy	2010	10	11.10	director:4 cinematographer:2 screenwriter:4 cast:6
Q11086456	Battle of the Japan Sea	1969	7	11.10	composer:7 cast:22
Q19721608	Amanti senza amore	1948	13	11.05	cinematographer:1 editor:2 composer:10 cast:1
Q1627517	The Inheritance	1976	13	11.05	editor:3 composer:9 screenwriter:1 cast:1
Q1108721	The Sign of Venus	1955	12	11.05	cinematographer:1 editor:2 composer:1 screenwriter:8 cast:1
Q636043	The Goonies	1985	12	11.05	director:1 editor:8 composer:1 screenwriter:2 cast:1
Q1748292	The Pick-up Artist	1987	11	11.05	cinematographer:5 composer:6 cast:5
Q1625975	The World in His Arms	1952	12	11.00	cinematographer:6 composer:4 screenwriter:2
Q653764	The Legend of Rita	2000	12	11.00	director:2 editor:8 screenwriter:2
Q1168501	Happiness	1965	11	11.00	director:4 cinematographer:2 editor:1 screenwriter:4 cast:2
Q3725834	Henry IV	1984	11	11.00	cinematographer:1 screenwriter:10 cast:4
Q190765	1492 – Conquest of Paradise	1992	11	11.00	director:5 cinematographer:2 editor:3 composer:1 cast:2
Q3201388	The Absence	1992	11	11.00	cinematographer:1 editor:8 screenwriter:2 cast:4
Q858860	Red Sonja	1985	13	11.00	cinematographer:2 editor:2 composer:9
Q1393651	Hamlet	2000	13	11.00	composer:12 screenwriter:1 cast:2
Q7764866	The Small Back Room	1949	12	11.00	director:5 composer:3 screenwriter:4
Q7758963	The Queen's Guards	1961	12	11.00	director:5 composer:3 screenwriter:4
Q2300646	Sweet Charity	1969	12	11.00	cinematographer:2 screenwriter:10
Q461768	The Spiderwick Chronicles	2008	12	11.00	editor:8 composer:3 screenwriter:1 cast:2
Q12127205	Rocky Road to Dublin	1967	11	11.00	cinematographer:11
Q1273817	Taking Off	1971	11	11.00	director:3 cinematographer:3 screenwriter:5 cast:2
Q1347278	Valmont	1989	11	11.00	director:3 cinematographer:3 screenwriter:5 cast:2
Q4164282	Bethune: The Making of a Hero	1990	11	11.00	cinematographer:11
Q1216898	A Little Princess	1995	11	11.00	director:4 cinematographer:7
Q2734213	8	2008	11	11.00	director:11
Q2631366	A Letter to Elia	2010	11	11.00	director:11
Q7257627	Public Speaking	2010	11	11.00	director:11
Q6357059	The Past	2013	11	11.00	director:3 cinematographer:4 composer:1 screenwriter:3 cast:2
Q63565898	Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese	2019	11	11.00	director:11
Q113952565	Jerry Lee Lewis: Trouble in Mind	2022	11	11.00	director:11
Q29580929	Avatar: Fire and Ash	2025	11	11.00	director:5 cinematographer:1 screenwriter:5 cast:2
Q961829	The Two Jakes	1990	10	11.00	cinematographer:5 editor:2 screenwriter:3 cast:6
Q3277743	Mahjong	1996	10	11.00	director:5 screenwriter:5 cast:6
Q465227	The Village	2004	10	11.00	cinematographer:10 cast:4
Q487271	Stoker	2013	10	11.00	director:6 cinematographer:4 cast:4
Q4517765	The Face of Another	1966	9	11.00	director:1 composer:7 screenwriter:1 cast:14
Q1217355	The Truth	1960	8	11.00	director:2 cinematographer:2 editor:1 composer:1 screenwriter:2 cast:14
Q8029791	Wolf	1955	7	11.00	director:3 composer:1 screenwriter:3 cast:18
Q1137931	The Big Sleep	1946	12	10.95	director:2 editor:1 composer:3 screenwriter:6 cast:1
Q10556665	Playing on the Rainbow	1958	12	10.95	cinematographer:4 editor:3 composer:5 cast:1
Q5474657	Foundry Town	1962	9	10.95	cinematographer:2 composer:6 screenwriter:1 cast:13
Q1197463	The Killers	1964	13	10.90	composer:13 cast:2
Q2302716	Bezeten, Het Gat in de Muur	1969	13	10.90	composer:8 screenwriter:5
Q1747484	The Fifth Day of Peace	1970	13	10.90	cinematographer:1 editor:3 composer:9
Q7687420	Tasmania Story	1990	13	10.90	composer:13 cast:2
Q11524787	Tokyo Family	2013	13	10.90	composer:13 cast:2
Q55663978	Love under the Crucifix	1962	9	10.90	cinematographer:3 composer:5 screenwriter:1 cast:12
Q1141460	Striptease	1996	13	10.85	editor:2 composer:11 cast:1
Q203705	Halloween III: Season of the Witch	1982	12	10.85	cinematographer:5 composer:7 cast:1
Q1475627	The Bachelor	1990	12	10.85	cinematographer:2 composer:9 screenwriter:1 cast:3
Q3234756	The Rat Race	1960	11	10.85	cinematographer:9 composer:2 cast:1
Q453004	Espion, lève-toi	1982	10	10.85	editor:1 composer:9 cast:11
Q3540036	Trois places pour le 26	1988	10	10.85	director:2 composer:6 screenwriter:2 cast:9
Q64666990	The Truth	2019	9	10.85	director:5 screenwriter:4 cast:9
Q3023695	San Babila-8 P.M.	1976	13	10.80	editor:3 composer:9 screenwriter:1
Q190908	Seven	1995	13	10.80	cinematographer:2 composer:11
Q1178292	Before and After	1996	13	10.80	cinematographer:2 composer:11
Q7136590	Pardon My Past	1945	12	10.80	cinematographer:6 composer:6
Q3689356	Countersex	1964	12	10.80	editor:1 screenwriter:11
Q3835811	Catch as Catch Can	1967	12	10.80	cinematographer:1 composer:1 screenwriter:10
Q623801	Daisy	2006	12	10.80	director:1 cinematographer:2 editor:6 composer:3
Q7677730	Take Me to Town	1953	11	10.80	director:4 cinematographer:6 composer:1
Q573953	Artists Under the Big Top: Perplexed	1968	11	10.80	cinematographer:4 editor:7 cast:2
Q1790910	Death of a Salesman	1985	11	10.80	director:2 cinematographer:8 composer:1
Q172241	The Shawshank Redemption	1994	11	10.80	cinematographer:10 composer:1
Q779658	The Siege	1998	11	10.80	cinematographer:10 composer:1
Q2981267	Pigs and Battleships	1961	10	10.80	director:2 cinematographer:2 composer:6 cast:8
Q4871938	Battle of Okinawa	1971	10	10.80	composer:7 screenwriter:3 cast:10
Q758585	Hangmen Also Die!	1943	11	10.75	director:5 cinematographer:1 screenwriter:5 cast:1
Q2259720	The Sun Also Shines at Night	1990	11	10.75	cinematographer:1 screenwriter:10 cast:3
Q740528	Wild Wild West	1999	11	10.75	cinematographer:8 composer:2 screenwriter:1 cast:1
Q160618	Brokeback Mountain	2005	11	10.75	cinematographer:3 editor:5 composer:2 screenwriter:1 cast:3
Q680573	The Thousand Eyes of Dr. Mabuse	1960	10	10.75	director:5 screenwriter:5 cast:5
Q3205550	The Stranger Within a Woman	1966	11	10.75	director:6 composer:5 cast:3
